[0]128.028 [1]134.363 [2]126.496 [3]127.301 [4]126.752 [5]124.696 [6]128.551 [7]129.28 [8]128.686 [9]125.834 [10]127.219 [11]128.601 [12]127.355 [13]128.782 [14]129.723 [15]128.586 [16]128.168 [17]127.511 [18]127.059 [19]128.249 [20]126.695 
[0]132.571 [1]127.889 [2]126.374 [3]123.353 [4]125.934 [5]126.309 [6]126.951 [7]130 [8]131.079 [9]128.713 [10]132.914 [11]125.751 [12]131.074 [13]126.719 [14]126.38 [15]128.777 [16]126.015 [17]128.7 [18]130.943 [19]126.785 [20]125.772 
[0]126.246 [1]126.583 [2]129.059 [3]124.706 [4]123.732 [5]123.969 [6]127.45 [7]122.408 [8]122.013 [9]127.001 [10]128.2 [11]123.158 [12]124.696 [13]129.032 [14]130.896 [15]133.374 [16]122.693 [17]123.461 [18]130.119 [19]124.24 [20]128.186 
[0]130.636 [1]126.06 [2]126.722 [3]122.835 [4]132.657 [5]128.421 [6]122.936 [7]126.205 [8]125.86 [9]130.477 [10]127.423 [11]125.331 [12]132.517 [13]125.486 [14]126.673 [15]128.206 [16]132.555 [17]127.594 [18]131.111 [19]129.526 [20]131.128 
[0]127.222 [1]132.886 [2]130.346 [3]126.715 [4]115.635 [5]117.574 [6]118.338 [7]123.976 [8]128.501 [9]125.652 [10]127.793 [11]128.944 [12]125.508 [13]124.929 [14]128.168 [15]129.8 [16]128.928 [17]126.115 [18]124.117 [19]123.04 [20]121.459 
[0]126.251 [1]129.359 [2]120.234 [3]117.413 [4]110.573 [5]117.444 [6]118.942 [7]127.096 [8]126.487 [9]125.347 [10]129.409 [11]131.399 [12]123.017 [13]131.879 [14]125.556 [15]124.404 [16]129.084 [17]125.286 [18]130.893 [19]128.166 [20]123.742 
[0]128.29 [1]126.733 [2]115.338 [3]107.738 [4]114.158 [5]119.779 [6]127.025 [7]123.617 [8]129.682 [9]129.31 [10]131.85 [11]127.193 [12]129.606 [13]128.089 [14]127.623 [15]128.688 [16]126.963 [17]125.767 [18]128.098 [19]125.044 [20]127.525 
[0]117.711 [1]113.746 [2]115.301 [3]119.949 [4]116.114 [5]124.035 [6]127.618 [7]131.924 [8]128.396 [9]128.01 [10]130.528 [11]125.855 [12]122.487 [13]120.62 [14]126.75 [15]129.341 [16]126.077 [17]129.565 [18]122.451 [19]131.536 [20]127.55 
[0]110.333 [1]109.057 [2]112.591 [3]117.118 [4]125.386 [5]134.906 [6]125.21 [7]135.242 [8]123.183 [9]126.738 [10]123.649 [11]126.161 [12]131.559 [13]128.194 [14]129.489 [15]126.166 [16]122.871 [17]125.337 [18]130.07 [19]128.442 [20]131.208 
[0]111.887 [1]109.512 [2]122.921 [3]123.965 [4]124.444 [5]131.602 [6]123.196 [7]130.156 [8]129.983 [9]124.528 [10]127.025 [11]121.003 [12]124.918 [13]126.54 [14]131.07 [15]126.65 [16]132.049 [17]130.14 [18]126.554 [19]131.905 [20]130.783 
[0]109.157 [1]118.784 [2]120.959 [3]124.155 [4]125.576 [5]132.827 [6]126.054 [7]130.031 [8]126.784 [9]131.496 [10]126.498 [11]132.542 [12]129.38 [13]126.959 [14]126.631 [15]127.689 [16]128.799 [17]121.033 [18]120.651 [19]128.62 [20]120.604 
[0]112.798 [1]117.544 [2]117.001 [3]129.816 [4]126.285 [5]126.157 [6]127.983 [7]126.393 [8]127.293 [9]123.341 [10]128.981 [11]127.049 [12]128.052 [13]121.351 [14]124.815 [15]126.165 [16]127.703 [17]125.432 [18]128.04 [19]123.584 [20]131.608 
[0]106.336 [1]110.305 [2]114.476 [3]122.643 [4]121.107 [5]125.588 [6]125.438 [7]130.615 [8]125.646 [9]122.473 [10]131.451 [11]127.556 [12]126.234 [13]128.767 [14]123.698 [15]124.334 [16]128.808 [17]126.681 [18]129.4 [19]125.064 [20]129.274 
[0]113.624 [1]109.603 [2]119.925 [3]124.902 [4]131.838 [5]131.322 [6]123.739 [7]129.915 [8]125.058 [9]110.349 [10]127.622 [11]125.973 [12]129.997 [13]129.229 [14]124.393 [15]126.775 [16]130.163 [17]129.842 [18]129.971 [19]127.902 [20]129.482 
[0]109.293 [1]114.758 [2]117.104 [3]127.988 [4]128.296 [5]124.423 [6]132.556 [7]126.505 [8]119.174 [9]113.582 [10]129.366 [11]127.377 [12]130.636 [13]129.299 [14]124.982 [15]131.979 [16]128.468 [17]127.914 [18]126.587 [19]127.321 [20]132.377 
